r1
1
1001
1002
1003
1004
1051
1053
1054
1055
1056
1057
1058
1059
1060
1061
1062
2
2000
3
31
3101
3102
3103
3151
3152
3153
3154
3155
3156
3157
3158
32
3241
3251
3252
3254
3255
3256
3257
33
3351
3352
3353
3354
3355
3356
3357
3358
3359
3360
3361
34
3401
3402
3403
3404
3405
3451
3452
3453
3454
3455
3456
3457
3458
3459
3460
3461
3462
4
4011
4012
5
51
5111
5112
5113
5114
5116
5117
5119
5120
5122
5124
5154
5158
5162
5166
5170
53
5314
5315
5316
5334
5358
5362
5366
5370
5374
5378
5382
55
5512
5513
5515
5554
5558
5562
5566
5570
57
5711
5754
5758
5762
5766
5770
5774
59
5911
5913
5914
5915
5916
5954
5958
5962
5966
5970
5974
5978






6
64
6411
6412
6413
6414
6431
6432
6433
6434
6435
6436
6437
6438
6439
6440



65
6531
6532
6533
6534
6535

66
6611
6631
6632
6633
6634
6635
6636






7
71
7111
7131
7132
7133
7134
7135
7137
7138
7140
7141
7143
72
7211
7231
7232
7233
7235
73
7311
7312
7313
7314
7315
7316
7317
7318
7319
7320
7331
7332
7333
7334
7335
7336
7337
7338
7339
7340



8
81
811
8111
8115
8116
8117
8118
8119



812
8121
8125
8126
8127
8128



813
8135
8136




82
821
8211
8212
8215
8216



822
8221
8222
8225
8226



823
8231
8235
8236
8237






83
831
8311
8315
8316
8317



832
8325
8326
8327

833
8335
8336
8337




84
841
8415
8416
8417

842
8421
8425
8426



843
8435
8436
8437







9
91
9161
9162
9163
9171
9172
9173
9174
9175
9176
9177
9178
9179
9180
9181
9182
9183
9184
9185
9186
9187
9188
9189
9190



92
9261
9262
9263
9271
9272
9273
9274
9275
9276
9277
9278
9279



93
9361
9362
9363
9371
9372
9373
9374
9375
9376
9377



94
9461
9462
9463
9464
9471
9472
9473
9474
9475
9476
9477
9478
9479



95
9561
9562
9563
9564
9565
9571
9572
9573
9574
9575
9576
9577



96
9661
9662
9663
9671
9672
9673
9674
9675
9676
9677
9678
9679



97
9761
9762
9763
9764
9771
9772
9773
9774
9775
9776
9777
9778
9779
9780






10
10041
10042
10043
10044
10045
10046

11
11000
12
12051
12052
12053
12054
12060
12061
12062
12063
12064
12065
12066
12067
12068
12069
12070
12071
12072
12073



13
13003
13004
13071
13072
13073
13074
13075
13076



14
145
14511
14521
14522
14523
14524
146
14612
14625
14626
14627
14628
147
14713
14729
14730



15
15001
15002
15003
15081
15082
15083
15084
15085
15086
15087
15088
15089
15090
15091



16
16051
16052
16053
16054
16055
16056
16061
16062
16063
16064
16065
16066
16067
16068
16069
16070
16071
16072
16073
16074
16075
16076
16077
